created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-03-06T10:44:03+05:30,351,16.97,0,33,48,725,1019,,,,,,
2023-03-06T10:44:44+05:30,352,7.26,0,33,49,563,1023,,,,,,
2023-03-06T10:45:13+05:30,353,2.24,0,32,49,505,1023,,,,,,
2023-03-06T10:45:45+05:30,354,-2.57,0,33,48,455,1020,,,,,,
2023-03-06T10:46:05+05:30,355,-3.24,0,34,48,448,988,,,,,,
2023-03-06T11:04:17+05:30,356,-3.35,0,32,49,317,1023,,,,,,
2023-03-06T11:10:36+05:30,357,18.68,0,32,49,322,13,,,,,,
2023-03-06T11:11:02+05:30,358,12.13,0,30,42,340,24,,,,,,
2023-03-06T11:11:20+05:30,359,7.95,0,33,49,318,29,,,,,,
2023-03-06T11:12:04+05:30,360,0.54,0,32,49,315,0,,,,,,
2023-03-06T11:12:25+05:30,361,-2.28,0,32,49,311,0,,,,,,
2023-03-06T11:12:56+05:30,362,-3.41,0,34,48,304,0,,,,,,
2023-03-06T11:13:19+05:30,363,-3.46,0,30,45,300,0,,,,,,
2023-03-06T11:13:43+05:30,364,-3.25,0,32,43,316,0,,,,,,
2023-03-06T11:16:35+05:30,365,-3.33,0,33,48,312,6,,,,,,
2023-03-06T11:18:56+05:30,366,-3.44,0,32,49,303,1013,,,,,,
2023-03-06T11:20:09+05:30,367,-3.37,0,33,48,301,242,,,,,,
2023-03-06T11:20:30+05:30,368,-3.25,0,34,48,305,236,,,,,,
2023-03-06T11:20:49+05:30,369,-3.34,0,30,45,308,231,,,,,,
2023-03-06T11:21:56+05:30,370,-3.31,0,34,47,299,218,,,,,,
2023-03-06T11:22:19+05:30,371,-3.37,0,34,48,304,223,,,,,,
2023-03-06T11:22:37+05:30,372,-3.24,25.09,32,46,299,220,,,,,,
2023-03-06T11:23:07+05:30,373,-3.29,0,32,49,309,216,,,,,,
2023-03-06T11:23:36+05:30,374,-3.47,0,32,49,302,216,,,,,,
2023-03-06T11:26:54+05:30,375,-3.27,0,32,49,313,214,,,,,,
2023-03-06T11:27:12+05:30,376,-3.22,0,32,49,297,39,,,,,,
2023-03-06T11:27:50+05:30,377,-3.23,0,32,49,302,219,,,,,,
2023-03-06T11:28:19+05:30,378,-3.21,0,32,49,297,218,,,,,,
2023-03-06T11:29:33+05:30,379,-3.24,0,32,49,291,222,,,,,,
2023-03-06T11:29:52+05:30,380,-3.39,74,31,43,294,223,,,,,,
2023-03-06T11:30:11+05:30,381,-3.25,80,31,42,300,19,,,,,,
2023-03-06T11:30:32+05:30,382,-3.29,118,30,45,300,6,,,,,,
2023-03-06T11:30:51+05:30,383,-3.31,99,33,41,293,172,,,,,,
2023-03-06T11:34:24+05:30,384,11,0,34,43,265,10,,,,,,
2023-03-06T11:34:42+05:30,385,7,127,33,48,288,10,,,,,,
2023-03-06T11:38:25+05:30,386,7,127,33,48,286,18,,,,,,
2023-03-06T11:39:39+05:30,387,11,0,34,43,297,944,,,,,,
2023-03-06T11:39:57+05:30,388,7,127,33,48,294,969,,,,,,
2023-03-06T11:45:34+05:30,389,6,117,30,43,354,7,,,,,,
2023-03-06T11:45:52+05:30,390,9,94,31,47,356,9,,,,,,
2023-03-06T11:46:15+05:30,391,9,144,30,44,310,208,,,,,,
2023-03-06T16:35:59+05:30,392,6,117,30,43,383,1015,,,,,,
2023-03-06T16:36:17+05:30,393,9,94,31,47,326,1023,,,,,,
2023-03-06T16:36:40+05:30,394,9,144,30,44,291,1023,,,,,,
2023-03-06T16:37:13+05:30,395,7,79,33,44,276,1023,,,,,,
2023-03-06T16:37:31+05:30,396,9,139,33,47,275,1023,,,,,,
2023-03-06T16:37:55+05:30,397,11,0,34,43,265,1017,,,,,,
2023-03-06T16:38:13+05:30,398,7,127,33,48,271,1023,,,,,,
2023-03-06T16:38:36+05:30,399,11,132,32,47,265,1023,,,,,,
2023-03-06T16:38:53+05:30,400,10,129,32,44,265,1015,,,,,,
2023-03-06T16:39:16+05:30,401,7,79,33,44,265,1023,,,,,,
2023-03-06T16:39:34+05:30,402,9,139,33,47,264,1023,,,,,,
2023-03-06T16:40:12+05:30,403,11,0,34,43,260,954,,,,,,
2023-03-06T16:40:29+05:30,404,7,127,33,48,264,221,,,,,,
2023-03-06T16:40:52+05:30,405,11,132,32,47,264,231,,,,,,
2023-03-06T16:41:09+05:30,406,10,129,32,44,266,242,,,,,,
2023-03-06T16:41:32+05:30,407,7,79,33,44,269,235,,,,,,
2023-03-06T16:41:50+05:30,408,9,139,33,47,269,242,,,,,,
2023-03-06T16:42:09+05:30,409,7,130,34,42,261,219,,,,,,
2023-03-06T16:42:27+05:30,410,9,60,30,49,265,207,,,,,,
2023-03-06T16:42:52+05:30,411,6,147,31,43,267,195,,,,,,
2023-03-06T16:43:10+05:30,412,10,65,32,40,261,202,,,,,,
2023-03-06T16:43:33+05:30,413,4,53,32,42,270,204,,,,,,
2023-03-06T16:44:04+05:30,414,7,52,32,42,261,187,,,,,,
2023-03-06T16:44:21+05:30,415,9,118,31,47,263,210,,,,,,
2023-03-06T16:44:44+05:30,416,11,109,33,44,263,194,,,,,,
